Time,Voltage,S,Current,S_in
586,-0.2499999999999999,1.0,-1.4767e-05,1.0
587,-0.275,1.0,-1.703299999999999e-05,1.0
588,-0.3,1.0,-1.9699999999999974e-05,1.0
589,-0.325,1.0,-2.269999999999999e-05,1.0
590,-0.3500000000000001,1.0,-2.496699999999997e-05,1.0
591,-0.3750000000000001,1.0,-2.7350000000000007e-05,1.0
592,-0.4,1.0,-2.9232999999999976e-05,1.0
593,-0.425,1.0,-3.0417000000000014e-05,1.0
594,-0.4499999999999999,1.0,-3.299999999999997e-05,1.0
595,-0.475,1.0,-3.4666999999999985e-05,1.0
596,-0.5,1.0,-3.6933e-05,1.0
597,-0.5249999999999999,1.0,-3.9949999999999975e-05,1.0
598,-0.55,1.0,-4.233299999999999e-05,1.0
599,-0.5749999999999998,1.0,-4.3900000000000044e-05,1.0
600,-0.6,1.0,-4.8399999999999984e-05,1.0
601,-0.625,1.0,-5.0232999999999985e-05,1.0
602,-0.6499999999999999,1.0,-5.226700000000005e-05,1.0
603,-0.675,1.0,-5.334999999999997e-05,1.0
604,-0.7,1.0,-5.486699999999999e-05,1.0
605,-0.725,1.0,-5.7949999999999986e-05,1.0
606,-0.7500000000000001,1.0,-6.0699999999999985e-05,1.0
607,-0.775,1.0,-6.019999999999997e-05,1.0
608,-0.8,1.0,-6.356699999999997e-05,1.0
609,-0.825,1.0,-6.564999999999997e-05,1.0
610,-0.85,1.0,-6.750000000000006e-05,1.0
611,-0.875,1.0,-7.108300000000005e-05,1.0
612,-0.9,1.0,-7.400000000000001e-05,1.0
613,-0.9250000000000002,1.0,-7.724999999999998e-05,1.0
614,-0.95,1.0,-7.883300000000002e-05,1.0
615,-0.975,1.0,-8.140000000000007e-05,1.0
616,-1.0,1.0,-8.450000000000006e-05,1.0
617,-1.025,1.0,-8.718299999999991e-05,1.0
618,-1.05,1.0,-9.059999999999991e-05,1.0
619,-1.075,1.0,-9.41e-05,1.0
620,-1.1,1.0,-9.779999999999991e-05,1.0
621,-1.125,1.0,-0.00010215000000000003,1.0
622,-1.15,1.0,-0.00010667000000000003,1.0
623,-1.175,1.0,-0.00011066999999999998,1.0
624,-1.2,1.0,-0.00011400000000000005,1.0
625,-1.225,1.0,-0.00011899999999999995,1.0
626,-1.25,1.0,-0.00012533000000000002,1.0
627,-1.275,1.0,-0.0001325,1.0
628,-1.3,1.0,-0.00013767000000000006,1.0
629,-1.325,1.0,-0.00014000000000000004,1.0
630,-1.35,1.0,-0.00014499999999999995,1.0
631,-1.3749999999999998,1.0,-0.00014583,1.0
632,-1.4,1.0,-0.000154,1.0
633,-1.425,1.0,-0.00015649999999999993,1.0
634,-1.45,1.0,-0.00015667000000000008,1.0
635,-1.475,1.0,-0.00016550000000000004,1.0
636,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
637,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
638,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
639,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
640,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
641,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
642,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
643,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
644,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
645,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
646,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
647,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
648,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
649,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
650,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
651,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
652,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
653,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
654,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
655,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
